,altitude,availableBikes,availableDocks,city,id,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,statusKey,statusValue,testStation,totalDocks
38,,0,18,,237,,2016-01-26 06:18:22 PM,40.73047309,,-73.98672378,,E 11 St & 2 Ave,,E 11 St & 2 Ave,3,Not In Service,False,39
39,,0,5,,238,,2016-01-26 06:16:51 PM,40.7361967,,-74.00859207,,Bank St & Washington St,,Bank St & Washington St,3,Not In Service,False,31
40,,0,30,,239,,2016-01-26 06:18:03 PM,40.69196566,,-73.9813018,,Willoughby St & Fleet St,,Willoughby St & Fleet St,3,Not In Service,False,31
41,,0,18,,241,,2016-01-26 06:17:32 PM,40.68981035,,-73.97493121,,DeKalb Ave & S Portland Ave,,DeKalb Ave & S Portland Ave,3,Not In Service,False,23
42,,0,21,,242,,2016-01-26 06:17:35 PM,40.697787,,-73.973736,,Carlton Ave & Flushing Ave,,Carlton Ave & Flushing Ave,3,Not In Service,False,23
43,,0,11,,243,,2016-01-26 06:17:46 PM,40.688226,,-73.979382,,Fulton St & Rockwell Pl,,Fulton St & Rockwell Pl,3,Not In Service,False,31
44,,0,22,,244,,2016-01-26 06:16:10 PM,40.69196035,,-73.96536851,,Willoughby Ave & Hall St,,Willoughby Ave & Hall St,3,Not In Service,False,31
45,,0,15,,245,,2016-01-26 06:15:53 PM,40.69327018,,-73.97703874,,Myrtle Ave & St Edwards St,,Myrtle Ave & St Edwards St,3,Not In Service,False,23
46,,0,7,,247,,2016-01-26 06:16:05 PM,40.73535398,,-74.00483091,,Perry St & Bleecker St,,Perry St & Bleecker St,3,Not In Service,False,20
47,,0,19,,248,,2016-01-26 06:18:07 PM,40.72185379,,-74.00771779,,Laight St & Hudson St,,Laight St & Hudson St,3,Not In Service,False,23
48,,0,13,,249,,2016-01-26 06:18:27 PM,40.71870987,,-74.0090009,,Harrison St & Hudson St,,Harrison St & Hudson St,3,Not In Service,False,27
49,,0,28,,250,,2016-01-26 06:15:46 PM,40.72456089,,-73.99565293,,Lafayette St & Jersey St,,Lafayette St & Jersey St,3,Not In Service,False,40
50,,0,15,,251,,2016-01-26 06:15:55 PM,40.72317958,,-73.99480012,,Mott St & Prince St,,Mott St & Prince St,3,Not In Service,False,27
51,,0,23,,252,,2016-01-26 06:15:16 PM,40.73226398,,-73.99852205,,MacDougal St & Washington Sq,,MacDougal St & Washington Sq,3,Not In Service,False,33
52,,0,49,,253,,2016-01-26 06:15:55 PM,40.73543934,,-73.99453948,,W 13 St & 5 Ave,,W 13 St & 5 Ave,3,Not In Service,False,55
53,,0,12,,254,,2016-01-26 06:15:17 PM,40.73532427,,-73.99800419,,W 11 St & 6 Ave,,W 11 St & 6 Ave,3,Not In Service,False,31
54,,0,38,,257,,2016-01-26 06:16:00 PM,40.71939226,,-74.00247214,,Lispenard St & Broadway,,Lispenard St & Broadway,3,Not In Service,False,39
55,,0,14,,258,,2016-01-26 06:18:05 PM,40.68940747,,-73.96885458,,DeKalb Ave & Vanderbilt Ave,,DeKalb Ave & Vanderbilt Ave,3,Not In Service,False,23
56,,0,15,,259,,2016-01-26 06:18:16 PM,40.70122128,,-74.01234218,,South St & Whitehall St,,South St & Whitehall St,3,Not In Service,False,39
57,,0,35,,260,,2016-01-26 06:16:21 PM,40.70365182,,-74.01167797,,Broad St & Bridge St,,Broad St & Bridge St,3,Not In Service,False,35
58,,0,9,,261,,2016-01-26 06:17:23 PM,40.69474881,,-73.98362464,,Johnson St & Gold St,,Johnson St & Gold St,3,Not In Service,False,27
59,,0,20,,262,,2016-01-26 06:16:04 PM,40.6917823,,-73.9737299,,Washington Park,,Washington Park,3,Not In Service,False,24
60,,0,29,,263,,2016-01-26 06:17:04 PM,40.71729,,-73.996375,,Elizabeth St & Hester St,,Elizabeth St & Hester St,3,Not In Service,False,31
61,,0,5,,264,,2016-01-26 06:15:33 PM,40.70706456,,-74.00731853,,Maiden Ln & Pearl St,,Maiden Ln & Pearl St,3,Not In Service,False,27
62,,0,25,,265,,2016-01-26 06:18:34 PM,40.72229346,,-73.99147535,,Stanton St & Chrystie St,,Stanton St & Chrystie St,3,Not In Service,False,35
63,,0,18,,266,,2016-01-26 06:16:03 PM,40.72368361,,-73.97574813,,Avenue D & E 8 St,,Avenue D & E 8 St,3,Not In Service,False,24
64,,0,56,,267,,2016-01-26 06:17:21 PM,40.75097711,,-73.98765428,,Broadway & W 36 St,,Broadway & W 36 St,3,Not In Service,False,57
65,,0,26,,268,,2016-01-26 06:17:19 PM,40.71910537,,-73.99973337,,Howard St & Centre St,,Howard St & Centre St,3,Not In Service,False,27
66,,0,10,,270,,2016-01-26 06:16:53 PM,40.69308257,,-73.97178913,,Adelphi St & Myrtle Ave,,Adelphi St & Myrtle Ave,3,Not In Service,False,23
67,,0,7,,274,,2016-01-26 06:18:32 PM,40.68691865,,-73.976682,,Lafayette Ave & Fort Greene Pl,,Lafayette Ave & Fort Greene Pl,3,Not In Service,False,31
