,factors
0,0.3053219240556646
1,0.3124315461085538
2,0.5024946851742091
3,0.957181137071043
4,1.3726255416863349
5,1.3246753431123761
6,1.260813674097367
7,1.7194552791570101
8,1.4674015736853125
9,1.2389084288345713
10,1.0433767865445291
11,0.4953140804730284
