,0
2014-03-16,1.20537001661
2014-03-17,0.899239278109
2014-03-18,0.968796771384
2014-03-19,1.00441672777
2014-03-20,0.984106421147
2014-03-21,0.960392365305
2014-03-22,0.979872727741
2014-03-23,1.01034385662
2014-03-24,0.908213722002
2014-03-25,0.788476389002
2014-03-26,0.619433571992
2014-03-27,0.935206723201
2014-03-28,0.926160558225
2014-03-29,0.271670874753
2014-03-30,1.05910039661
2014-03-31,0.625518739363
2014-04-01,0.431810888582
2014-04-02,0.833643094141
2014-04-03,0.849952380877
2014-04-04,0.783521753791
2014-04-05,1.17427081214
2014-04-06,0.999616601219
2014-04-07,0.983939940556
2014-04-08,1.0529542437
2014-04-09,0.945133355971
2014-04-10,0.880642737659
2014-04-11,0.940411773211
2014-04-12,1.0495895483
2014-04-13,1.08952920556
2014-04-14,0.916474779895
2014-04-15,0.965761660424
2014-04-16,1.03297416832
2014-04-17,0.976123847647
2014-04-18,0.917203190457
2014-04-19,0.954378401372
2014-04-20,0.994327624493
2014-04-21,0.919103292648
2014-04-22,0.885212321593
2014-04-23,0.9197946601
2014-04-24,0.867855089
2014-04-25,0.556077642797
2014-04-26,0.86823498272
2014-04-27,0.936148880507
2014-04-28,1.03125317011
2014-04-29,1.01890761594
2014-04-30,1.03212954513
2014-05-01,1.00225272855
2014-05-02,0.955095566258
2014-05-03,0.87038005772
2014-05-04,1.09405001314
2014-05-05,1.00486131765
2014-05-06,0.930129991311
2014-05-07,0.982925216286
2014-05-08,0.889763603744
2014-05-09,0.963384727393
2014-05-10,0.98283226156
2014-05-11,0.881536701233
2014-05-12,1.02572349034
2014-05-13,1.01745840502
2014-05-14,0.990466841986
2014-05-15,1.0208599522
2014-05-16,1.05180244616
2014-05-17,1.09078637725
2014-05-18,1.09667363427
2014-05-19,0.965744743866
2014-05-20,0.925186873554
2014-05-21,0.924268127505
2014-05-22,1.02847199824
2014-05-23,1.00575155097
2014-05-24,0.971587041176
2014-05-25,1.46135697199
2014-05-26,0.39116573784
2014-05-27,0.991918963276
2014-05-28,1.07091084946
2014-05-29,1.02255151799
2014-05-30,0.989173228699
2014-05-31,1.00982079048
2014-06-01,1.15153164497
2014-06-02,1.05245476782
