,2,3,4,5,6,7,8,9,10,11,12,13,14,16,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,41,42,45,46,47,48,49,50,51,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,80,82,83,84
2013-08-29,5,9,3,3,4,4,6,8,10,4,1,4,1,0,2,5,1,0,0,1,6,3,1,1,0,0,1,4,11,5,3,0,20,19,14,22,3,26,21,18,43,14,11,6,10,12,19,15,28,8,12,11,11,21,47,28,19,24,30,10,13,21,15,10,31,30,0,0,0,0
2013-08-30,4,2,3,1,13,13,7,7,6,5,1,5,1,2,1,2,4,1,0,1,4,6,4,2,0,0,2,0,7,1,0,3,26,12,14,17,0,21,14,12,42,6,15,16,23,12,12,14,41,25,11,16,6,10,45,11,5,18,27,19,15,9,24,11,25,32,0,0,0,0
2013-08-31,7,0,0,0,1,7,0,0,5,3,1,0,0,2,2,1,0,1,1,0,2,6,4,4,0,0,7,2,11,5,7,5,16,7,13,18,2,6,17,5,60,4,24,9,8,10,13,11,46,26,9,14,0,11,17,10,17,11,13,30,18,34,23,14,27,13,0,0,0,0
2013-09-01,6,2,2,0,14,4,7,7,11,6,2,3,4,5,3,1,0,1,1,0,2,3,1,8,0,0,2,1,8,1,1,0,21,7,12,9,1,11,28,13,71,12,29,8,8,11,16,3,59,22,9,13,0,13,19,15,16,6,25,25,16,24,25,17,17,19,0,0,0,0
2013-09-02,6,2,1,1,5,3,3,2,8,5,2,0,9,2,0,2,0,2,0,0,0,6,1,1,0,0,2,0,3,0,0,1,18,14,7,5,5,19,27,14,81,13,25,7,4,20,8,6,48,22,6,6,5,17,17,14,11,15,21,11,10,29,17,13,35,24,0,0,0,0
2013-09-03,5,0,1,3,1,5,4,3,2,5,3,1,0,2,5,2,0,3,0,0,0,5,0,1,0,0,4,5,4,4,4,2,20,10,7,11,9,17,7,15,21,9,11,16,5,11,14,8,33,16,17,12,22,15,29,27,8,12,30,14,17,12,19,7,15,27,0,0,0,0
2013-09-04,13,0,8,3,2,8,9,4,9,4,4,3,1,4,0,1,0,0,0,1,2,5,1,0,0,0,2,0,2,3,2,0,25,7,6,6,7,12,9,7,27,4,14,16,9,13,8,6,32,21,15,14,24,18,26,15,7,10,34,9,14,12,21,13,25,29,0,0,0,0
2013-09-05,7,1,4,2,7,8,7,1,5,4,1,4,0,5,1,4,1,1,1,0,0,4,1,1,0,0,1,1,2,1,0,0,24,15,4,16,8,10,13,18,37,15,13,24,11,12,12,11,21,21,16,12,27,15,23,14,8,19,34,16,19,22,23,14,28,27,0,0,0,0
2013-09-06,10,5,6,0,3,6,16,3,3,2,1,3,1,2,0,5,2,2,1,2,0,12,0,2,0,0,1,1,2,2,1,1,15,20,10,12,10,17,21,17,43,15,29,22,13,18,7,10,49,26,22,11,26,19,38,20,16,13,47,6,17,19,19,13,39,40,0,0,0,0
2013-09-07,6,0,1,0,3,6,1,2,0,2,1,5,2,4,2,2,0,0,0,0,5,3,2,4,0,0,3,3,12,6,3,2,20,11,14,7,9,10,30,15,75,16,38,11,15,22,5,11,70,31,20,14,15,17,13,19,16,14,29,25,13,18,22,22,28,21,0,0,0,0
2013-09-08,7,5,1,4,6,2,3,6,1,2,4,0,4,8,1,1,0,0,0,0,5,3,1,1,0,0,0,2,3,4,2,2,24,15,13,10,14,10,24,10,35,14,15,5,8,13,10,9,77,33,7,17,16,20,21,11,9,7,25,17,27,26,28,9,23,24,0,0,0,0
2013-09-09,8,0,1,3,5,4,6,4,2,3,6,5,0,4,0,1,0,0,0,0,3,8,1,0,0,0,4,0,5,1,2,1,19,14,21,14,9,22,15,21,37,21,8,25,12,13,10,10,44,26,19,11,22,30,18,18,10,25,45,16,17,17,25,16,29,33,0,0,0,0
2013-09-10,18,1,6,3,6,7,2,2,5,5,2,3,2,6,1,5,0,0,0,2,2,5,0,0,0,0,1,4,3,0,2,2,26,19,21,18,4,17,20,24,46,16,23,27,18,14,14,8,60,16,22,21,28,32,22,22,10,28,60,14,20,26,28,22,21,30,0,0,0,0
2013-09-11,13,2,2,3,5,6,6,1,7,5,4,6,0,1,0,3,1,0,0,2,0,3,1,1,0,0,1,2,1,2,3,0,23,21,15,11,6,22,12,14,44,18,12,27,25,16,11,7,39,33,30,15,26,37,31,20,16,26,54,19,25,32,28,23,25,36,0,0,0,0
2013-09-12,15,1,4,2,3,4,5,4,10,4,4,4,0,1,1,4,2,0,0,0,0,6,2,0,0,0,2,2,4,1,1,1,25,17,18,22,11,20,24,20,59,15,35,23,24,22,8,6,63,31,18,21,36,31,25,12,13,29,59,20,21,18,30,19,22,38,0,0,0,0
