,factors
0,0.4273929452890165
1,0.27839171760787773
2,0.5395498919385994
3,0.8808858957817751
4,1.201252382163716
5,1.2610029554128634
6,1.4386993592697073
7,1.373022326733812
8,1.542602679547529
9,1.433504550594332
10,1.0264164731269152
11,0.5972788225338561
