,2,3,4,5,6,7,8,9,10,11,12,13,14,16,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,41,42,45,46,47,48,49,50,51,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,80,82,83,84
2013-08-29,6,5,3,2,6,3,8,6,14,2,3,3,1,0,3,3,1,0,1,1,6,3,1,0,0,0,1,3,9,6,4,0,26,15,17,21,9,22,24,11,40,11,7,7,11,9,15,14,29,6,5,5,15,26,51,27,11,25,38,13,20,20,19,11,31,27,0,0,0,0
2013-08-30,5,3,2,2,11,12,7,8,2,5,2,8,0,3,0,1,5,1,1,1,2,7,4,3,0,0,3,1,7,1,0,4,27,11,17,19,0,15,20,10,45,7,11,12,15,15,9,8,44,23,10,19,16,15,35,16,11,20,18,18,12,20,25,13,27,19,0,0,0,0
2013-08-31,6,0,0,0,2,6,0,0,4,3,2,1,0,1,3,1,0,0,1,0,4,6,3,3,0,0,6,4,11,6,4,6,19,8,5,7,3,6,27,13,64,4,19,6,8,9,13,9,57,21,4,10,9,8,17,12,12,13,19,30,10,27,31,18,25,12,0,0,0,0
2013-09-01,6,4,2,0,12,4,5,6,11,8,0,3,4,9,4,2,0,0,0,0,0,6,0,7,0,0,3,1,6,1,1,0,21,4,25,4,14,8,32,15,64,12,19,2,10,17,11,1,77,23,3,11,5,13,20,8,15,8,23,21,21,31,18,9,19,16,0,0,0,0
2013-09-02,5,3,2,1,4,0,3,2,9,5,0,1,10,4,0,2,0,2,0,0,0,5,0,2,0,0,2,0,3,1,2,1,16,16,8,3,8,15,28,14,78,9,23,4,8,17,9,8,65,25,3,6,3,22,18,14,10,19,29,8,6,20,16,15,26,20,0,0,0,0
2013-09-03,3,0,1,2,1,4,4,2,3,5,4,2,2,2,3,2,0,3,0,0,1,5,0,0,0,0,5,5,7,4,2,2,24,12,11,9,8,12,8,13,28,8,13,13,10,11,8,9,36,20,15,10,23,18,31,15,8,20,30,19,11,12,19,6,21,22,0,0,0,0
2013-09-04,12,0,9,0,3,9,8,4,7,5,3,2,2,7,0,1,0,0,0,1,2,3,0,0,0,0,5,2,2,0,1,1,21,9,8,4,10,17,8,14,27,2,15,12,9,13,2,5,36,20,9,17,30,16,25,21,7,17,33,13,18,8,18,10,17,24,0,0,0,0
2013-09-05,9,2,3,0,6,5,8,3,6,7,1,3,0,4,1,2,2,2,1,0,3,1,1,0,0,0,1,2,1,1,0,1,25,9,8,12,9,16,23,20,37,13,14,13,9,12,9,9,27,18,11,10,31,17,24,20,9,18,39,12,20,13,14,17,32,31,0,0,0,0
2013-09-06,13,5,2,0,6,2,13,4,3,5,2,3,2,2,1,3,2,2,1,3,2,10,1,1,0,0,0,1,3,2,1,1,28,11,13,15,7,21,19,22,36,13,23,15,12,25,9,10,46,35,15,10,25,22,24,27,16,15,39,10,20,21,26,9,32,44,0,0,0,0
